id,restaurant_name,cuisines,pricing_for_2,locality,dining_rating,website,address,phone_no,latitude,longitude,timings,highlights,votes,delivery,takeaway
1,# Wednesday,"Fast Food, Chinese, North Indian - Casual Dining",250.0,"Keshavpuram, Kanpur",3.5,https://www.zomato.com/kanpur/wednesday-keshavpuram?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"H-1034, Awas Vikas-1, Bagia Crossing Road, Kalyanpur, Keshavpuram, Kanpur",,26.4960440746,80.2562266588,11 AM to 11 PM,"['Dinner', 'Delivery', 'Lunch', 'Cash', 'Takeaway Available', 'Indoor Seating']",44.0,1.0,-1.0
2,#Waffles,"Desserts, Beverages, Fast Food - Dessert Parlour ,Desserts, Fast Food - Dessert Parlour ,Desserts, Fast Food - Dessert Parlour ,Desserts, Fast Food - Dessert Parlour",500.0,"Indirapuram, Ghaziabad",3.95,https://www.zomato.com/ncr/waffles-indirapuram-ghaziabad?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Shop 2 GC Grand Market, Indirapuram, Ghaziabad",,28.6364943239,77.3623367026,12 Noon to 11 PM,"['Dinner', 'Cash', 'Takeaway Available', 'Debit Card', 'Lunch', 'Delivery', 'Credit Card', 'Free Parking', 'Indoor Seating', 'Outdoor Seating', 'Digital Payments Accepted']",356.0,-1.0,-1.0
3,007 Punjabi Dhaba,"Asian, Afghan - Quick Bites",500.0,"Ukkadam, Coimbatore",4.3,https://www.zomato.com/coimbatore/007-punjabi-dhaba-ukkadam?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"45, Kovaipudur Road, Kunniyamuthur, Ukkadam, Coimbatore",,10.9373265173,76.950368844,7 AM to 11 PM,"['Cash', 'Takeaway Available', 'No Alcohol Available', 'Dinner', 'Delivery', 'Breakfast', 'Lunch', 'Indoor Seating', 'Outdoor Seating']",150.0,-1.0,-1.0
4,007 Restro Bar - Hotel Seetal,Finger Food - Bar,1000.0,"Hotel Seetal, Sahid Nagar, Bhubaneshwar",3.3,https://www.zomato.com/bhubaneswar/007-restro-bar-hotel-seetal-sahid-nagar-bhubaneshwar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Hotel Seetal, NH-5, Vani Vihar Square, Sahid Nagar, Bhubaneshwar",,20.2959021047,85.8397908881,12 Noon to 10:30 PM,"['Takeaway Available', 'Dinner', 'Serves Alcohol', 'Cash', 'Credit Card', 'Lunch', 'Debit Card', 'Fullbar', 'Indoor Seating', 'Above 18 Only', 'Air Conditioned', 'Axis Bank - Dining Delights']",29.0,-1.0,-1.0
5,009 Restaurant,"Fast Food, North Indian, Chinese - Quick Bites",500.0,"Sunderpur, Varanasi",3.5,https://www.zomato.com/varanasi/009-restaurant-sunderpur?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Chitaipur Road, Karaundi, Sunderpur, Varanasi",,25.2735873013,82.9792987928,11 AM to 11 PM,"['Takeaway Available', 'Dinner', 'Lunch', 'Cash', 'Indoor Seating', 'Air Conditioned', 'Digital Payments Accepted']",54.0,-1.0,-1.0
6,0124 Bar Exchange - Open Terrace Brewery,"North Indian, Chinese, Continental, Momos - Bar",1500.0,"Good Earth City Center, Sector 50, Gurgaon",4.1,https://www.zomato.com/ncr/0124-bar-exchange-open-terrace-brewery-sector-50-gurgaon?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"224, 2nd Floor, Good Earth City Center, Sector 50, Gurgaon",,28.4215345791,77.0534330606,12 Noon to 12 Midnight,"['Mall Parking', 'Credit Card', 'Lunch', 'Cash', 'Takeaway Available', 'Debit Card', 'Dinner', 'Digital Payments Accepted', 'Smoking Area', 'DJ', 'Live Entertainment', 'Nightlife', 'Wine', 'Live Music', 'Rooftop', 'Above 18 Only', 'Table booking recommended', 'Air Conditioned', 'Karaoke', 'Live Sports Screening', 'Fullbar', 'Beer', 'Indoor Seating', 'Serves Cocktails']",571.0,-1.0,-1.0
7,0135 Pub & Kitchen,"Continental, North Indian, Chinese,Pizza, Grill - Pub",1200.0,"Rajpur, Dehradun",3.9,https://www.zomato.com/dehradun/0135-pub-kitchen-rajpur?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Hotel HW Residencyy, 3rd Floor, 74-C, Rajpur Road, Dehradun, Rajpur, Dehradun",,30.341119,78.060709,11:30am – 11pm (Mon-Sun),"['Takeaway Available', 'Cash', 'Debit Card', 'Dinner', 'Delivery', 'Credit Card', 'Lunch', 'Serves Alcohol', 'Fullbar', 'Air Conditioned', 'Indoor Seating']",36.0,1.0,-1.0
8,033,"Thai, Italian, Asian, American, Chinese, Cafe - Casual Dining",500.0,"Gariahat, Kolkata",4.2,https://www.zomato.com/kolkata/033-gariahat?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"23/44 Gariahat Road, Golpark, Near South City College Gariahat, Kolkata",,22.515458442600004,88.3678057417,9am – 12midnight (Mon-Sun),"['Dinner', 'Delivery', 'Breakfast', 'Lunch', 'Cash', 'Credit Card', 'Debit Card', 'Indoor Seating', 'Air Conditioned', 'Table booking recommended', 'Digital Payments Accepted']",1282.0,1.0,-1.0
9,07 Street Cafe & Choco Crush,Cafe - Café,450.0,"Aliganj, Lucknow",3.7,https://www.zomato.com/lucknow/07-street-cafe-choco-crush-aliganj?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"1/9, 2nd Floor, Kapoorthala Road, Kapoorthala, Aliganj, Lucknow",,26.882821245,80.94720426949999,11 AM to 11 PM,"['No Alcohol Available', 'Cash', 'Lunch', 'Credit Card', 'Dinner', 'Takeaway Available', 'Delivery', 'Debit Card', 'Air Conditioned', 'Free Wifi', 'Digital Payments Accepted', 'Indoor Seating', 'Fullbar']",114.0,-1.0,-1.0
10,09 Street Cafe,Cafe - Café,350.0,"Bhawar Kuan, Indore",3.7,https://www.zomato.com/indore/09-street-cafe-1-bhawar-kuan?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"G-1, Giriraj Tower, Bhawar Kuan, Indore",,22.6912026416,75.8654776588,"11am – 11pm (Mon-Sat),1pm – 11pm (Sun)","['Dinner', 'Cash', 'Takeaway Available', 'Credit Card', 'Lunch', 'Delivery', 'Debit Card', 'Indoor Seating', 'Free Wifi', 'Pure Veg']",36.0,-1.0,-1.0
11,Cubbonpete Donne Biryani,"Biryani, South Indian",300," Sahakara Nagar, Bangalore",4,https://www.zomato.com/bangalore/cubbonpete-donne-biryani-sahakara-nagar,"2704/2, 14th Main Road, E Block, Sahakara Nagar, Bangalore",9.20E+11,13.05897583,77.59148654,,,,,
